transport_type,km_per_day,food_type,kg_food_per_day,energy_source,kwh_per_day,flights_per_year,flight_km_total,monthly_co2_kg
bus,7.0,fish,0.3,coal,5.7,4,8000,186.5
bicycle,0.3,vegetables,0.5,natural_gas,5.9,1,2000,157.67
car_petrol,82.4,chicken,0.4,coal,6.4,0,0,216.25
bicycle,2.47,chicken,0.4,coal,7.0,1,2000,89.5
car_diesel,281.9,vegetables,0.5,coal,5.3,8,16000,395.25
bus,21.93,vegetables,0.5,coal,7.2,4,8000,137.25
car_petrol,178.77,vegetables,0.3,coal,5.9,1,2000,152.67
bicycle,1.8,vegetables,0.3,coal,5.5,8,16000,193.5
bus,45.87,chicken,0.4,coal,5.3,4,8000,207.83
bus,14.67,fish,0.3,coal,5.8,1,2000,98.17
bus,52.03,vegetables,0.5,coal,6.2,0,0,118.92
bicycle,2.3,vegetables,0.5,coal,5.9,8,16000,268.83
bicycle,3.07,chicken,0.4,coal,6.8,1,2000,132.75
car_petrol,96.43,vegetables,0.3,grid_eu,6.3,1,2000,144.33
bus,66.3,fish,0.3,natural_gas,6.3,1,2000,145.25
bus,23.07,vegetables,0.5,grid_eu,5.9,8,16000,175.08
bicycle,0.23,fish,0.3,grid_eu,7.3,4,8000,217.42
bus,31.6,fish,0.3,coal,5.1,1,2000,130.42
car_petrol,254.07,vegetables,0.3,grid_eu,5.6,8,16000,439.33
bicycle,1.7,chicken,0.4,coal,6.5,0,0,101.67
car_ev,74.57,vegetables,0.3,grid_eu,5.0,1,2000,108.33
bus,60.13,fish,0.3,coal,5.6,1,2000,85.33
bicycle,2.83,chicken,0.4,coal,6.4,0,0,58.83
car_diesel,15.73,vegetables,0.5,coal,6.7,4,8000,215.17
car_diesel,191.23,vegetables,0.3,coal,5.5,8,16000,357.0
bicycle,2.93,fish,0.3,grid_eu,6.7,1,2000,67.25
bus,18.6,vegetables,0.3,grid_eu,5.4,4,8000,165.92
bus,25.07,vegetables,0.5,grid_eu,6.4,1,2000,151.42
bicycle,2.37,fish,0.3,coal,6.0,1,2000,124.17
bus,34.27,chicken,0.4,grid_eu,6.3,4,8000,130.08
bus,50.9,vegetables,0.3,coal,7.3,4,8000,183.5
bicycle,2.93,vegetables,0.5,coal,7.4,4,8000,168.67
bicycle,2.43,fish,0.3,natural_gas,5.1,4,8000,138.25
car_petrol,277.33,fish,0.3,coal,5.9,8,16000,325.92
bicycle,2.4,vegetables,0.5,coal,6.1,0,0,100.33
bicycle,0.3,vegetables,0.3,coal,5.1,8,16000,202.58
bicycle,2.0,vegetables,0.5,grid_eu,6.6,4,8000,136.67
bicycle,0.43,vegetables,0.3,natural_gas,6.7,4,8000,137.33
bicycle,1.07,chicken,0.4,coal,6.5,1,2000,83.5
bicycle,1.63,fish,0.3,coal,6.9,4,8000,147.58
bus,45.03,chicken,0.4,grid_eu,7.0,8,16000,169.0
bus,57.53,vegetables,0.5,coal,6.5,8,16000,211.67
bus,34.03,chicken,0.4,grid_eu,6.4,0,0,115.5
bicycle,2.07,fish,0.3,coal,7.2,1,2000,139.92
car_ev,316.27,chicken,0.4,coal,6.6,8,16000,261.75
bus,34.57,vegetables,0.5,coal,5.0,8,16000,218.92
car_ev,318.5,fish,0.3,coal,6.3,0,0,99.0
