transport_type,km_per_day,food_type,kg_food_per_day,energy_source,kwh_per_day,flights_per_year,flight_km_total,waste_co2_monthly,clothing_co2_monthly,grocery_bill_monthly,energy_efficient,monthly_co2_kg
bus,7.0,fish,0.15,coal,3.61,4,8000.0,34.64,21.67,230.0,0,186.5
bicycle,0.3,dairy,0.75,natural_gas,3.4,1,2000.0,45.47,31.67,114.0,0,157.67
car_petrol,82.4,chicken,0.15,coal,4.81,0,0.0,2.17,39.17,138.0,0,216.25
bicycle,2.47,chicken,0.15,coal,5.87,1,2000.0,12.99,4.17,157.0,0,89.5
car_diesel,281.9,dairy,0.75,coal,3.26,8,16000.0,8.66,4.17,266.0,1,395.25
bus,21.93,dairy,0.75,coal,4.74,4,8000.0,8.66,15.0,144.0,0,137.25
car_petrol,178.77,vegetables,0.9,coal,3.54,1,2000.0,17.32,9.17,56.0,0,152.67
bicycle,1.8,vegetables,0.9,coal,4.0,8,16000.0,45.47,32.5,59.0,0,193.5
bus,45.87,chicken,0.15,coal,3.35,4,8000.0,12.99,25.83,200.0,1,207.83
bus,14.67,fish,0.15,coal,3.88,1,2000.0,15.16,19.17,135.0,0,98.17
bus,52.03,dairy,0.75,coal,4.76,0,0.0,60.62,22.5,146.0,0,118.92
bicycle,2.3,dairy,0.75,coal,4.29,8,16000.0,21.65,3.33,111.0,0,268.83
bicycle,3.07,chicken,0.15,coal,5.64,1,2000.0,25.98,22.5,114.0,1,132.75
car_petrol,96.43,vegetables,0.9,grid_eu,3.85,1,2000.0,51.96,13.33,111.0,0,144.33
bus,66.3,fish,0.15,natural_gas,3.83,1,2000.0,12.99,19.17,123.0,0,145.25
bus,23.07,dairy,0.75,grid_eu,3.5,8,16000.0,12.99,20.0,225.0,0,175.08
bicycle,0.23,fish,0.15,grid_eu,5.79,4,8000.0,60.62,35.0,219.0,0,217.42
bus,31.6,fish,0.15,coal,3.22,1,2000.0,51.96,5.0,104.0,1,130.42
car_petrol,254.07,vegetables,0.9,grid_eu,4.04,8,16000.0,8.66,30.83,126.0,0,439.33
bicycle,1.7,chicken,0.15,coal,4.91,0,0.0,8.66,18.33,288.0,0,101.67
car_ev,74.57,vegetables,0.9,grid_eu,4.25,1,2000.0,51.96,6.67,282.0,0,108.33
bus,60.13,fish,0.15,coal,3.12,1,2000.0,8.66,2.5,69.0,0,85.33
bicycle,2.83,chicken,0.15,coal,5.23,0,0.0,6.5,3.33,110.0,0,58.83
car_diesel,15.73,dairy,0.75,coal,4.8,4,8000.0,8.66,20.0,165.0,1,215.17
car_diesel,191.23,vegetables,0.9,coal,3.6,8,16000.0,4.33,16.67,62.0,1,357.0
bicycle,2.93,fish,0.15,grid_eu,4.18,1,2000.0,25.98,1.67,94.0,0,67.25
bus,18.6,vegetables,0.9,grid_eu,3.53,4,8000.0,34.64,41.67,259.0,0,165.92
bus,25.07,dairy,0.75,grid_eu,3.99,1,2000.0,25.98,30.83,67.0,0,151.42
bicycle,2.37,fish,0.15,coal,4.0,1,2000.0,4.33,12.5,130.0,0,124.17
bus,34.27,chicken,0.15,grid_eu,3.79,4,8000.0,4.33,36.67,258.0,1,130.08
bus,50.9,vegetables,0.9,coal,5.75,4,8000.0,17.32,28.33,189.0,1,183.5
bicycle,2.93,dairy,0.75,coal,5.45,4,8000.0,43.3,6.67,262.0,0,168.67
bicycle,2.43,fish,0.15,natural_gas,3.22,4,8000.0,17.32,35.0,157.0,0,138.25
car_petrol,277.33,fish,0.15,coal,3.84,8,16000.0,10.82,1.67,280.0,0,325.92
bicycle,2.4,dairy,0.75,coal,5.0,0,0.0,25.98,3.33,121.0,1,100.33
bicycle,0.3,vegetables,0.9,coal,2.7,8,16000.0,17.32,33.33,174.0,1,202.58
bicycle,2.0,dairy,0.75,grid_eu,4.7,4,8000.0,8.66,11.67,173.0,0,136.67
bicycle,0.43,vegetables,0.9,natural_gas,5.65,4,8000.0,21.65,5.0,199.0,0,137.33
bicycle,1.07,chicken,0.15,coal,4.12,1,2000.0,12.99,4.17,94.0,0,83.5
bicycle,1.63,fish,0.15,coal,4.51,4,8000.0,2.17,39.17,64.0,1,147.58
bus,45.03,chicken,0.15,grid_eu,5.85,8,16000.0,15.16,20.0,100.0,1,169.0
bus,57.53,dairy,0.75,coal,4.9,8,16000.0,8.66,15.83,240.0,0,211.67
bus,34.03,chicken,0.15,grid_eu,4.4,0,0.0,30.31,40.0,245.0,0,115.5
bicycle,2.07,fish,0.15,coal,5.21,1,2000.0,10.82,17.5,270.0,0,139.92
car_ev,316.27,chicken,0.15,coal,4.68,8,16000.0,10.82,16.67,294.0,1,261.75
bus,34.57,dairy,0.75,coal,3.99,8,16000.0,34.64,9.17,87.0,0,218.92
car_ev,318.5,fish,0.15,coal,3.78,0,0.0,17.32,35.83,209.0,1,99.0
car_diesel,301.03,fish,0.15,grid_eu,3.95,0,0.0,75.78,9.17,124.0,1,264.5
bus,48.7,dairy,0.75,natural_gas,5.37,4,8000.0,60.62,4.17,276.0,0,193.92
bicycle,1.3,vegetables,0.9,coal,5.19,8,16000.0,12.99,5.83,90.0,1,151.83
car_diesel,167.77,vegetables,0.9,natural_gas,3.09,0,0.0,25.98,35.83,136.0,0,222.08
bus,35.5,vegetables,0.9,grid_eu,5.17,4,8000.0,60.62,35.83,246.0,1,177.42
bus,30.9,fish,0.15,coal,4.46,1,2000.0,21.65,8.33,94.0,1,118.75
car_petrol,75.9,dairy,0.75,grid_eu,3.95,4,8000.0,8.66,9.17,253.0,0,140.83
bicycle,3.23,chicken,0.15,natural_gas,4.69,1,2000.0,30.31,15.0,200.0,0,143.08
car_petrol,242.4,vegetables,0.9,coal,2.9,4,8000.0,17.32,31.67,281.0,0,338.33
car_petrol,175.33,dairy,0.75,grid_eu,4.02,1,2000.0,45.47,15.0,82.0,0,271.83
bus,58.33,fish,0.15,coal,4.37,1,2000.0,15.16,25.0,73.0,1,139.5
car_petrol,99.93,dairy,0.75,natural_gas,3.33,4,8000.0,8.66,30.0,246.0,0,261.25
car_petrol,304.9,fish,0.15,natural_gas,2.75,1,2000.0,75.78,40.83,98.0,1,372.08
bus,64.9,fish,0.15,grid_eu,6.18,1,2000.0,45.47,27.5,256.0,0,165.33
car_petrol,162.83,dairy,0.75,grid_eu,4.58,8,16000.0,8.66,17.5,287.0,1,270.5
bicycle,0.67,chicken,0.15,grid_eu,3.14,4,8000.0,34.64,5.0,63.0,0,112.58
bicycle,0.77,dairy,0.75,coal,4.87,0,0.0,15.16,27.5,158.0,0,160.75
bicycle,1.13,chicken,0.15,grid_eu,6.3,4,8000.0,43.3,12.5,241.0,1,226.58
bicycle,1.97,dairy,0.75,coal,5.09,4,8000.0,8.66,34.17,176.0,1,194.67
bus,22.73,dairy,0.75,coal,2.88,0,0.0,12.99,29.17,189.0,0,105.83
bicycle,0.33,dairy,0.75,natural_gas,4.69,0,0.0,51.96,10.0,214.0,1,150.25
bicycle,0.33,vegetables,0.9,grid_eu,3.77,8,16000.0,4.33,18.33,264.0,0,151.33
car_petrol,265.47,chicken,0.15,coal,5.49,0,0.0,2.17,35.83,213.0,0,386.5
car_petrol,120.2,chicken,0.15,coal,5.62,1,2000.0,6.5,6.67,281.0,0,159.08
bus,17.87,vegetables,0.9,natural_gas,2.66,4,8000.0,17.32,25.0,280.0,1,168.42
bus,52.13,chicken,0.15,natural_gas,3.98,1,2000.0,43.3,12.5,125.0,0,158.0
bicycle,2.6,vegetables,0.9,grid_eu,4.03,4,8000.0,8.66,17.5,188.0,0,147.5
bicycle,3.27,chicken,0.15,coal,4.13,0,0.0,2.17,39.17,251.0,0,110.25
bus,60.67,fish,0.15,coal,5.09,8,16000.0,2.17,20.0,285.0,1,189.08
bus,8.1,vegetables,0.9,coal,5.4,0,0.0,60.62,30.0,234.0,1,159.83
bus,52.87,vegetables,0.9,natural_gas,3.72,8,16000.0,15.16,35.83,91.0,1,206.42
bicycle,0.37,chicken,0.15,natural_gas,3.66,4,8000.0,25.98,8.33,118.0,0,120.33
bicycle,2.4,dairy,0.75,natural_gas,5.46,0,0.0,10.82,35.0,75.0,0,104.5
bus,38.57,dairy,0.75,grid_eu,5.35,0,0.0,10.82,29.17,134.0,0,117.58
bus,46.0,fish,0.15,coal,3.68,0,0.0,60.62,9.17,282.0,0,133.75
car_petrol,192.17,dairy,0.75,grid_eu,3.33,0,0.0,21.65,1.67,110.0,0,254.5
bicycle,3.07,dairy,0.75,natural_gas,3.49,8,16000.0,90.93,13.33,202.0,1,241.83
car_petrol,259.9,fish,0.15,grid_eu,4.8,4,8000.0,60.62,6.67,56.0,1,358.42
bicycle,1.67,vegetables,0.9,grid_eu,5.22,8,16000.0,6.5,29.17,223.0,1,192.33
car_petrol,254.3,dairy,0.75,coal,5.07,4,8000.0,4.33,30.83,202.0,0,344.33
car_petrol,78.9,dairy,0.75,coal,3.23,4,8000.0,12.99,34.17,114.0,0,249.42
car_petrol,132.0,chicken,0.15,coal,3.61,4,8000.0,4.33,17.5,141.0,1,258.17
bicycle,1.4,vegetables,0.9,coal,5.8,1,2000.0,30.31,12.5,236.0,1,113.67
