transport_type,km_per_day,food_type,kg_food_per_day,energy_source,kwh_per_day,flights_per_year,flight_km_total,monthly_co2_kg
flight_long,64.74,legumes,2.06,wind,10.46,2,2499.62,430.3
motorcycle,58.11,eggs,0.61,grid_india,34.14,5,2529.2,1027.16
train,51.31,fruits,1.55,grid_us,15.19,9,7649.93,419.1
flight_long,78.74,vegetables,0.59,oil,28.81,8,7903.1,1140.89
bus,75.67,lamb,1.27,grid_eu,8.42,3,6923.07,1967.86
motorcycle,7.58,beef,1.02,grid_india,31.44,5,10297.81,1818.42
bus,18.86,lamb,2.05,natural_gas,18.83,3,14952.75,2830.85
car_diesel,45.48,rice,1.21,grid_us,15.37,0,0.0,512.81
bicycle,62.92,nuts,1.09,oil,29.74,2,12852.63,900.7
walking,13.69,dairy,2.2,natural_gas,8.34,6,16994.2,615.25
motorcycle,54.94,nuts,1.78,oil,21.53,4,31151.36,1276.21
flight_long,62.82,dairy,0.58,grid_eu,5.89,2,1471.44,514.21
flight_long,40.65,chicken,2.32,nuclear,26.15,3,22714.21,1184.47
car_diesel,51.83,vegetables,0.71,solar,36.24,9,12740.94,583.21
bicycle,28.85,beef,1.04,grid_us,33.63,8,22286.88,1607.6
train,56.93,fruits,1.18,hydro,12.66,7,40408.5,726.17
car_petrol,9.87,fruits,2.42,nuclear,22.4,0,0.0,144.45
flight_long,25.9,beef,1.77,natural_gas,23.58,9,71031.41,3138.28
flight_long,55.41,legumes,1.24,coal,30.49,7,28190.78,1562.15
car_petrol,16.3,legumes,0.87,oil,25.68,3,1873.23,655.74
car_ev,65.71,chicken,1.79,solar,37.92,7,23803.61,872.95
flight_long,45.61,fruits,1.02,grid_eu,39.38,3,13417.14,830.8
car_diesel,79.72,nuts,1.62,nuclear,16.87,2,11505.37,727.17
flight_short,63.49,rice,2.2,coal,10.66,5,27587.06,1468.1
car_ev,32.92,vegetables,1.83,natural_gas,10.63,1,4142.1,388.41
bus,58.41,beef,1.49,solar,17.83,7,48084.23,2162.67
car_petrol,28.1,nuts,1.52,hydro,14.28,5,39208.48,965.15
car_diesel,31.26,beef,1.65,coal,11.83,2,9580.06,1943.81
car_petrol,8.27,nuts,2.38,wind,35.92,8,61184.31,1269.65
car_ev,78.52,chicken,1.09,wind,11.68,0,0.0,319.69
car_diesel,46.76,eggs,1.89,grid_india,7.46,1,5112.55,793.83
car_petrol,68.65,vegetables,1.9,nuclear,15.28,6,21890.14,873.17
car_diesel,70.03,nuts,1.52,grid_us,26.98,3,16124.19,1097.84
car_ev,30.35,nuts,1.66,nuclear,28.52,2,7983.97,322.77
flight_short,49.31,eggs,1.0,grid_eu,33.79,5,22640.59,1225.5
train,39.29,eggs,0.6,solar,19.4,2,10561.45,322.25
bus,14.96,lamb,1.53,oil,32.83,2,7584.57,2505.18
walking,73.64,lamb,0.98,hydro,30.01,7,52567.23,2196.25
car_petrol,76.61,dairy,1.81,wind,26.41,6,5147.23,665.94
flight_short,6.08,nuts,0.59,coal,15.9,3,5444.93,577.05
walking,62.25,fish,1.45,coal,21.26,4,13955.14,1092.93
car_diesel,24.57,fruits,1.75,grid_eu,22.54,7,38081.42,1054.71
bus,51.19,dairy,2.39,solar,25.14,1,4800.25,480.29
train,51.95,beef,2.42,grid_eu,12.23,1,792.22,2111.2
car_diesel,56.23,beef,1.81,grid_eu,28.86,1,2455.21,2233.03
car_diesel,52.17,rice,1.97,wind,38.87,3,5492.39,604.91
bicycle,47.64,pork,2.48,solar,18.02,6,29124.48,1408.64
car_petrol,55.99,dairy,2.01,grid_us,18.22,0,0.0,765.26
bicycle,29.0,legumes,0.7,solar,5.38,8,54828.59,934.45
bus,48.01,fish,0.68,grid_us,24.38,4,24571.24,929.02
flight_long,63.6,dairy,0.68,grid_eu,39.1,9,34303.31,1298.34
car_diesel,77.65,vegetables,2.02,coal,8.54,6,22174.12,1133.93
motorcycle,10.46,lamb,2.28,natural_gas,7.85,4,8996.84,3141.26
flight_short,65.96,dairy,2.47,solar,17.26,2,12657.2,980.32
